iter	Passed	Remaining
1178	74798	20364
1179	74813	20288
1180	74826	20211
1181	74842	20135
1182	74858	20059
1183	74873	19983
1184	74891	19907
1185	74910	19833
1186	74930	19758
1187	74951	19684
1188	74971	19609
1189	74993	19536
1190	75012	19461
1191	75030	19386
1192	75050	19313
1193	75073	19239
1194	75093	19166
1195	75110	19091
1196	75127	19017
1197	75141	18942
1198	75156	18867
1199	75172	18793
1200	75188	18718
1201	75202	18644
1202	75219	18570
1203	75233	18495
1204	75247	18421
1205	75273	18350
1206	75288	18276
1207	75305	18202
1208	75319	18128
1209	75336	18055
1210	75349	17981
1211	75363	17908
1212	75376	17834
1213	75391	17761
1214	75406	17687
1215	75419	17614
1216	75435	17541
1217	75449	17468
1218	75464	17395
1219	75477	17322
1220	75494	17250
1221	75509	17178
1222	75523	17105
1223	75538	17033
1224	75551	16960
1225	75564	16887
1226	75578	16815
1227	75594	16744
1228	75609	16672
1229	75623	16600
1230	75636	16528
1231	75650	16456
1232	75664	16384
1233	75681	16313
1234	75696	16242
1235	75711	16171
1236	75725	16100
1237	75739	16028
1238	75759	15959
1239	1242	72121	11240	1243	72135	11241	1244	72152	11242	1245	72167	11243	1246	72182	11244	1247	72197	11245	1248	72213	11246	1249	72230	14446
1250	72247	14380
1251	72268	14315
1252	72287	14249
1253	72309	14185
1254	72325	14119
1255	72341	14053
1256	72355	13987
1257	72368	13921
1258	72382	13855
1259	72407	13791
1260	72426	13727
1261	72439	13661
1262	72452	13595
1263	72471	13531
1264	72484	13465
1265	72498	13400
1266	72513	13335
1267	72528	13270
1268	72543	13205
1269	72561	13140
1270	72576	13076
1271	72592	13011
1272	72608	12947
1273	72623	12883
1274	72641	12819
1275	72658	12755
1276	72673	12690
1277	72688	12626
1278	72703	12562
1279	72722	12499
1280	72737	12435
1281	72749	12370
1282	72763	12306
1283	72790	12245
1284	72805	12181
1285	72818	12117
1286	72832	12053
1287	72845	11990
1288	72859	11926
1289	72872	11863
1290	72885	11799
1291	72901	11736
1292	72914	11673
1293	72929	11610
1294	72942	11546
1295	72956	11483
1296	72972	11421
1297	72990	11359
1298	73008	11296
1299	73027	11235
1300	73043	11172
1301	73060	11110
1302	73075	11048
1303	73090	10986
1304	73108	10924
1305	73122	10861
1306	73136	10799
1307	73150	10737
1308	73165	10675
1309	73180	10613
1310	73195	10552
